Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6444826b187cec76d1d504da,5eaae4d434376206a8a74337,APPROVED,2023-04-23T00:57:22.479000Z,2023-04-23T01:04:17.570000Z,2023-04-23T01:04:18.023000,2023-04-23T01:04:17.947297Z,416,CTR530VA,1016,English,58,Male,White,United States,United States,United States,English,Yes,Part-Time
644482746f036675a07dcb69,6234f954ebf560c4741256ad,APPROVED,2023-04-23T00:57:28.679000Z,2023-04-23T01:04:12.598000Z,2023-04-23T01:04:13.094000,2023-04-23T01:04:13.036688Z,404,CTR530VA,1302,English,57,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64448274c3da4cabec840b75,63bbcc34e88bb71a8739e9e4,APPROVED,2023-04-23T01:06:43.697000Z,2023-04-23T01:14:42.017000Z,2023-04-23T01:14:42.469000,2023-04-23T01:14:42.412999Z,479,CTR530VA,534,English,22,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
644482754505c34b8848738c,604445808afbd64cbbcd20a1,APPROVED,2023-04-23T00:57:29.639000Z,2023-04-23T01:20:19.557000Z,2023-04-23T01:20:19.955000,2023-04-23T01:20:19.881634Z,1370,CTR530VA,885,English,27,DATA_EXPIRED,Asian,China,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
6444828c7f10c06f10194405,6150ea0af545fdfbb4b6e25f,APPROVED,2023-04-23T00:57:53.387000Z,2023-04-23T01:04:58.559000Z,2023-04-23T01:04:59.038000,2023-04-23T01:04:58.957722Z,426,CTR530VA,1643,"English, French",65,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6444828d225e61fc975f2ee5,57b60487e5b60d0001083aea,APPROVED,2023-04-23T00:57:56.135000Z,2023-04-23T01:05:38.486000Z,2023-04-23T01:05:38.914000,2023-04-23T01:05:38.849073Z,463,CTR530VA,3437,English,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64448294c6a76ce81db34bd0,5bf190bbfb616800014fd571,APPROVED,2023-04-23T00:58:07.692000Z,2023-04-23T01:12:18.845000Z,2023-04-23T01:12:19.216000,2023-04-23T01:12:19.160310Z,852,CTR530VA,836,English,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644482b1d32d42850a17dae5,5f16fa8069dc2901cd1e0b05,APPROVED,2023-04-23T00:58:28.481000Z,2023-04-23T01:02:26.522000Z,2023-04-23T01:02:27.105000,2023-04-23T01:02:27.043554Z,239,CTR530VA,2681,English,50,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
644482b4511d4440b1368a62,6125b040ffa3c0b9e67b92c9,APPROVED,2023-04-23T00:58:32.879000Z,2023-04-23T01:16:48.361000Z,2023-04-23T01:16:48.844000,2023-04-23T01:16:48.787492Z,1096,CTR530VA,1505,"English, Spanish",26,Prefer not to say,Mixed,United States,United States,United States,English,Yes,Part-Time
644482bc2606245226dd6efd,6323c66923b89b0a73b205c7,APPROVED,2023-04-23T00:59:43.456000Z,2023-04-23T01:04:14.546000Z,2023-04-23T01:04:15.493000Z,2023-04-23T01:04:15.581277Z,272,CTR530VA,237,English,35,Prefer not to say,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
